FID,ID,NAME,LABEL,THEME_NAME,DTT_ID2010,DTT_NM2010,DTT_LB2010,RGN_NM2012,AREA_M2,gdppersqkm,Precip,NDVI
0,102.000000000000000,Ellembelle,Ellembelle,ELLEMBELLE,312.000000000000000,Ellembelle,Ellembelle,Western,995043496.202000021934509,995,0.159777438829000,0.354576768287000
1,103.000000000000000,Nzema East,Nzema East,NZEMA EAST MUNICIPAL,303.000000000000000,Nzema East,Nzema East,Western,1083336516.829999923706055,1083,0.153100867685000,0.354650253041000
2,104.000000000000000,Ahanta West,Ahanta West,AHANTA WEST,307.000000000000000,Ahanta West,Ahanta West,Western,554072265.738000035285950,554,0.148956798501000,0.384547330297000
3,105.000000000000000,Sekondi Takoradi,Sekondi Takoradi,SEKONDI TAKORADI METROPOLIS,301.000000000000000,Shama Ahanta East,STMA,Western,191662659.911000013351440,192,0.135893189462000,0.294891923300000
4,106.000000000000000,Shama,Shama,SHAMA,310.000000000000000,Shama,Shama,Western,193697018.872999995946884,194,0.124652655559000,0.315523250870000
5,107.000000000000000,Wassa East,Wassa East,WASSA EAST,319.000000000000000,Mpohor Wassa East,Mpohor Wassa East,Western,1652172964.549999952316284,1652,0.124786105752000,0.366084183874000
6,108.000000000000000,Tarkwa Nsuaem,Tarkwa Nsuaem,TARKWA NSUAEM MUNICIPAL,302.000000000000000,Tarkwa Nsuaem,Tarkwa Nsuaem,Western,904940420.220000028610229,905,0.137390835845000,0.319655144148000
7,109.000000000000000,Prestea / Huni Valley,Prestea / Huni Valley,PRESTEA/HUNI VALLEY,309.000000000000000,Prestea Huni,Prestea Huni,Western,1808660373.059999942779541,1809,0.146150948032000,0.360824747376000
8,110.000000000000000,Wassa Amenfi East,Wassa Amenfi East,WASSA AMENFI EAST,308.000000000000000,Wassa Amenfi,Wassa Amenfi East,Western,1557438175.250000000000000,1557,0.152382835860000,0.389383945947000
9,111.000000000000000,Wassa Amenfi West,Wassa Amenfi West,WASSA AMENFI WEST,314.000000000000000,Wassa West,Wassa Amenfi West,Western,1447287360.500000000000000,1447,0.148014030499000,0.391282734965000
10,112.000000000000000,Aowin,Aowin,AOWIN,318.000000000000000,Aowin Suaman,Aowin Suaman,Western,2607090244.340000152587891,2607,0.154695792833000,0.398024691213000
11,113.000000000000000,Sefwi Akontombra,Sefwi Akontombra,SEFWI AKONTOMBRA,311.000000000000000,Sefwi Akontombra,Sefwi Akontombra,Western,1118720080.579999923706055,1119,0.157073699715000,0.397522309682000
12,114.000000000000000,Sefwi-Wiawso,Sefwi-Wiawso,SEFWI WIAWSO,304.000000000000000,Sefwi Wiawso,Sefwi Wiawso,Western,1010605044.120000004768372,1011,0.148136127740000,0.410436356136000
13,115.000000000000000,Sefwi Bibiani-Anhwiaso Bekwai,Sefwi Bibiani-Anhwiaso Bekwai,SEFWI BIBIANI-AHWIASO BEKWAI,305.000000000000000,Bibiani Anhwiaso,Bibiani Anhwiaso,Western,833201679.358000040054321,833,0.143541112831000,0.408947336846000
14,116.000000000000000,Juabeso,Juabeso,JUABESO,321.000000000000000,Juabeso Bia,Juabeso,Western,1367975906.650000095367432,1368,0.145545521496000,0.387991946844000
15,117.000000000000000,Bia West,Bia West,BIA WEST,315.000000000000000,Bia,Bia,Western,1285166340.869999885559082,1285,0.139027591418000,0.391120955406000
16,118.000000000000000,Mpohor,Mpohor,MPOHOR,319.000000000000000,Mpohor Wassa East,Mpohor Wassa East,Western,524468017.236999988555908,524,0.133795139867000,0.358979009401000
17,119.000000000000000,Wassa Amenfi Central,Wassa Amenfi Central,WASSA AMENFI CENTRAL,314.000000000000000,Wassa West,Wassa Amenfi West,Western,1844729282.809999942779541,1845,0.136599730245000,0.379697205514000
18,120.000000000000000,Suaman,Suaman,SUAMAN,318.000000000000000,Aowin Suaman,Aowin Suaman,Western,399521295.199999988079071,400,0.152482553596000,0.372219100467000
19,121.000000000000000,Bodi,Bodi,BODI,321.000000000000000,Juabeso Bia,Juabeso,Western,661544027.266999959945679,662,0.146753987655000,0.378988331617000
20,122.000000000000000,Bia East,Bia East,BIA EAST,315.000000000000000,Bia,Bia,Western,782375907.256999969482422,782,0.142834605385000,0.417557391070000
21,201.000000000000000,Komenda Edna Eguafo / Abirem,Komenda Edna Eguafo / Abirem,KOMENDA-EDINA-EGYAFO-ABIREM MUNICIPAL,202.000000000000000,Komenda Edina Eguafo,Komenda Edina Eguafo,Central,452641918.142000019550323,453,0.127387132785000,0.351108935275000
22,202.000000000000000,Cape Coast Metro,Cape Coast Metro,CAPE COAST METROPOLIS,201.000000000000000,Cape Coast,Cape Coast,Central,122448765.253999993205070,122,0.119499910824000,0.319783701214000
23,203.000000000000000,Abura / Asebu / Kwamankese,Abura / Asebu / Kwamankese,ABURA-ASEBU-KWAMANKESE,210.000000000000000,Abura Asebu Kwaman,Abura Asebu Kwaman,Central,376937143.676999986171722,377,0.116818675537000,0.366100014850000
24,204.000000000000000,Mfantsiman,Mfantsiman,MFANTSIMAN MUNICIPAL,208.000000000000000,Mfantsiman,Mfantsiman,Central,300896112.902999997138977,301,0.115891559441000,0.340542981906000
25,205.000000000000000,Ajumako-Enyan-Esiam,Ajumako-Enyan-Esiam,AJUMAKO-ENYAN-ESSIAM,211.000000000000000,Ajumako Enyan Esiam,Ajumako Enyan Esiam,Central,521648462.518000006675720,522,0.113211077260000,0.367540571075000
26,206.000000000000000,Gomoa West,Gomoa West,GOMOA WEST,215.000000000000000,Gomoa West,Gomoa West,Central,459020926.073000013828278,459,0.116726418572000,0.317760554762000
27,207.000000000000000,Effutu,Effutu,EFFUTU MUNICIPAL,204.000000000000000,Efutu,Efutu,Central,85311657.395905196666718,85,0.112031136243000,0.227675581344000
28,208.000000000000000,Gomoa East,Gomoa East,GOMOA EAST,214.000000000000000,Gomoa East,Gomoa East,Central,540444410.546000003814697,540,0.106189760566000,0.285965013661000
29,209.000000000000000,Awutu Senya,Awutu Senya,EWUTU SENYA,207.000000000000000,Awutu Senya,Awutu Senya,Central,244834959.773999989032745,245,0.106280997333000,0.316654035461000
30,210.000000000000000,Agona East,Agona East,AGONA EAST,206.000000000000000,Agona West,Agona West,Central,327742591.777000010013580,328,0.111117933426000,0.361283743741000
31,211.000000000000000,Agona West,Agona West,AGONA WEST MUNICIPAL,216.000000000000000,Agona East,Agona East,Central,356576354.448000013828278,357,0.115515774093000,0.373886422875000
