District,BuiltAr,BuiltInten,Urbanizati,vaccinations,ITN,Edu_men,Edu_wm,Healthcare,Toilet,Water,Precip,NDVI,Med_Inc,clustnew
Abura-Asebu-Kwamankese,21.83678487,0.0570711,33.64594445,2,3,3,4,5,2,3,0.116818676,0.366100015,26.01262,1
Accra Metro,124.9078701,0.879576,52.09949641,1,1,1,1,1,1,1,0.107939145,0.147857251,23.16354,3
Ada East,63.23611556,0.21607,17.40468776,2,2,3,4,5,7,6,0.097585117,0.208174774,5.294523,2
Ada West,54.78184727,0.166354,13.40000661,2,2,2,3,4,6,6,0.102428498,0.207391067,3.8611,2
Adaklu,0.97571721,0.00119553,2.194706125,3,5,5,7,11,7,5,0.141392434,0.330798088,6.422868,2
Adansi North,29.73016183,0.0341808,16.15822058,3,7,4,9,14,6,14,0.145558812,0.456756229,18.74619,1
Adansi South,27.29525077,0.0201838,16.43814245,5,10,6,12,21,8,21,0.131095091,0.422333396,10.17926,3
Adentan,51.75098917,0.653449,63.9199642,1,1,1,1,1,1,1,0.10358485,0.202609222,12.28532,2
Afadjato South,2.949061449,0.00519381,13.13998402,2,3,2,4,6,4,7,0.108867486,0.421444333,10.90687,2
Afigya-Kwabre,48.91293746,0.116948,25.78228294,2,3,2,4,4,2,6,0.138637319,0.370766904,25.8108,1
Afram Plains South,15.97809965,0.00505319,8.636029838,10,23,16,31,50,61,64,0.120387423,0.296467936,12.54954,2
Agona East,10.86142691,0.0326329,43.39269088,1,2,2,3,4,2,4,0.111117933,0.361283744,16.93452076,2
Agona West,14.07048486,0.0388573,76.58853309,2,3,2,4,5,2,6,0.115515774,0.373886423,17.66288836,1
Agortime-Ziope,1.460654507,0.00455342,8.358986192,2,3,3,4,5,4,3,0.101958443,0.336543974,5.625431,1
Ahafo-Ano North,10.0975046,0.0166531,18.83438511,2,4,4,6,8,4,15,0.143635067,0.435151044,7.7222,2
Ahafo-Ano South,12.40826003,0.0102018,9.617866331,4,8,7,12,17,7,25,0.147101353,0.442771155,18.06451,1
Ahanta West,36.93118855,0.0657227,29.45535,3,4,4,6,10,8,8,0.148956799,0.38454733,19.19265,1
Ajumako-Enyan-Essiam,17.33358703,0.0327292,31.87053591,2,3,3,5,6,3,6,0.113211077,0.367540571,31.355935,1
Akatsi North,1.003469646,0.00330252,5.22411092,2,2,3,4,5,4,5,0.13727324,0.329408286,4.771757,2
Akatsi South,6.758448402,0.0123879,19.59587335,3,3,4,6,7,6,5,0.100490011,0.3166518,13.661475,2
Akwapim North,9.54829851,0.0152973,34.11560414,2,4,3,5,7,2,8,0.131241717,0.456173734,21.41156,1
Akwapim South,4.358593048,0.0191128,9.679966092,1,1,1,2,2,1,2,0.135868039,0.406141083,11.88231,2
Akyemansa,18.57806467,0.029815,34.87892045,2,5,3,6,9,3,9,0.124927579,0.410543818,16.14642,1
Amansie Central,30.24723352,0.0349427,11.81935399,4,6,5,9,12,10,17,0.136395081,0.41668407,6.949062,2
Amansie West,81.41980351,0.0648843,4.44201264,5,8,7,12,16,14,20,0.12362816,0.406899602,21.81375,1
Aowin,9.07504645,0.00342053,6.314576073,15,21,22,28,47,11,81,0.154695793,0.398024691,16.14642,1
Asante Akim Central,19.24120182,0.0627967,36.06844321,1,2,2,3,4,2,6,0.147169421,0.40741603,15.09374,1
Asante Akim North,42.63212308,0.0370756,21.29505488,3,9,6,12,19,19,27,0.129821552,0.410292845,16.01947,2
Asante Akim South,23.59687355,0.0200592,16.9474178,4,8,6,11,19,5,21,0.150176595,0.413428013,6.318164,1
Asante-Mampong,12.4287092,0.0181311,45.25559051,2,5,4,7,10,7,11,0.128505983,0.405940966,19.58975,1
Ashaiman,16.51854182,0.876259,100,1,1,1,1,1,1,1,0.101526775,0.14869776,35.77048,3
Asikuma-Odoben-Brakwa,12.92971369,0.0164598,48.10125459,3,5,4,7,9,3,12,0.118513182,0.393137821,19.3055,2
Asokore-Mampong,21.23207391,0.870263,47.999786,1,1,1,1,1,1,1,0.133740324,0.177998001,7.98518531,2
Assin North,23.3354164,0.0228304,35.76896139,4,8,5,11,16,3,15,0.127741407,0.385812572,32.43549,1
Assin South,11.23389381,0.0100391,0,5,7,7,12,16,6,24,0.125956467,0.374147109,24.54047,1
Asunafo North,18.48458278,0.0128272,37.95725228,7,8,9,16,16,9,33,0.168291673,0.424174554,19.58975,1
Asunafo South,8.97133998,0.00952518,25.73864825,5,6,7,11,13,8,28,0.121191673,0.41942584,38.611,1
Asuogyaman,11.25580363,0.0144181,29.36172817,3,5,3,6,8,8,10,0.115866368,0.257929994,20.79123,1
Asutifi North,28.75152331,0.0300531,22.97054808,5,6,5,9,10,4,18,0.134884928,0.430871612,12.40495678,1
Asutifi South,9.273695463,0.0152094,11.62503216,3,4,4,7,7,4,15,0.128171594,0.431457128,12.06642,1
Atebubu-Amanten,15.13384134,0.00562374,46.72261134,8,20,20,29,49,54,38,0.111555332,0.347586603,27.541835,3
Atiwa,24.5200072,0.0206414,33.35412486,4,7,5,9,18,4,22,0.132015782,0.370228238,22.82411,1
Atwima Mponua,32.7040544,0.0170249,12.43497231,7,12,11,19,25,23,39,0.111697338,0.43225243,12.57449,1
Atwima Nwabiagya,76.5236896,0.12939,31.4651904,2,4,3,5,7,3,6,0.146367154,0.374707416,10.56603,3
Atwima-Kwanwoma,82.52259766,0.321614,19.73210936,1,2,1,2,3,2,3,0.142259767,0.356006608,61.07559,2
Awutu Senya,9.939753918,0.0399885,5.209335698,1,2,2,2,3,3,3,0.106280997,0.316654035,15.67863,1
Awutu Senya East,30.28228923,0.52518,68.41564254,1,1,1,1,1,1,1,0.106955227,0.200393746,16.87629,1
Ayensuano,5.681946031,0.0111861,8.756970016,2,3,2,4,6,2,9,0.136235818,0.432527967,13.97443,2
Banda,4.862518853,0.00206062,6.524034452,10,23,20,30,48,51,48,0.108194624,0.253882912,9.828255,2
